Hãng Sản Xuất,Độ Dày,Trọng Lượng,Bộ Nhớ,Dung Lượng Pin,Giá Bán,Số Lõi,Cache,Độ Phân Giải,Hãng GPU,Phân Loại
0,0.0369566198561599,-0.7979104472274002,-0.2527584438542239,0.0162935058296785,-0.9322616175706084,0.6462538936606357,-1.0626575213654943,5,2,Di động / Mỏng nhẹ / Ultrabook
0,2.001956705862234,1.752277733172931,2.16429164936506,0.0162935058296785,0.155913785348207,-0.4549025008838057,0.201345635627146,4,4,Kỹ thuật / Lập trình
5,0.06007426792682,0.5521891776904223,-0.2527584438542239,0.0162935058296785,-0.2654519123375787,-1.8313479940643576,-0.7466567321173342,5,2,Văn phòng / Học tập
2,0.0369566198561599,-0.0478551000508322,-0.2527584438542239,0.0162935058296785,-0.5453548076439184,1.1968320909328565,1.149348003371626,4,2,Kỹ thuật / Lập trình
3,0.5224272293400138,0.4021781082551086,-0.2527584438542239,0.0162935058296785,-0.0798575519508696,-1.556058895428247,-0.7466567321173342,8,4,Văn phòng / Học tập
5,0.0369566198561599,-0.1378617417120205,-0.2527584438542239,0.0162935058296785,-0.2654519123375787,-0.4549025008838057,-0.7466567321173342,4,2,Kỹ thuật / Lập trình
5,0.0369566198561599,-0.1378617417120205,-1.039558604407376,0.0162935058296785,-0.6118544156000683,0.095675696388415,-0.7466567321173342,4,2,Kỹ thuật / Lập trình
5,-0.2635728050624153,-0.4678860944697104,-1.033264203122951,0.0162935058296785,-0.8476257528991449,-1.0054806981560265,-1.0626575213654943,4,2,Văn phòng / Học tập
5,0.06007426792682,0.2521670388197948,-0.2527584438542239,0.0162935058296785,-0.2654519123375787,0.6462538936606357,-0.7466567321173342,5,2,Kỹ thuật / Lập trình
5,0.06007426792682,0.2521670388197948,-0.2527584438542239,0.0162935058296785,-0.5997635777898591,1.1968320909328565,-0.7466567321173342,4,2,Kỹ thuật / Lập trình
3,0.4993095812693538,0.2521670388197948,-0.2527584438542239,0.0162935058296785,-0.2654519123375787,0.095675696388415,-0.7466567321173342,4,2,Kỹ thuật / Lập trình
7,-0.5409845819103323,-0.6478993777920868,-0.2527584438542239,-0.0956252494515678,-0.3821284972060961,0.095675696388415,-0.7466567321173342,5,2,Di động / Mỏng nhẹ / Ultrabook
7,-1.0958081356061646,-0.9629226236062454,0.5529249205522039,0.8736437957397626,0.669774392282092,0.6462538936606357,-0.7466567321173342,13,2,Thiết kế đồ họa / Multimedia
7,-0.0555139724264784,0.7022002471257354,0.5529249205522039,0.0162935058296785,2.3624916857113605,0.095675696388415,-0.114655153621014,17,4,Thiết kế đồ họa / Multimedia
7,-0.0555139724264784,0.7022002471257354,0.5529249205522039,0.0162935058296785,2.3624916857113605,0.095675696388415,-0.114655153621014,17,4,Thiết kế đồ họa / Multimedia
2,0.06007426792682,0.4021781082551086,0.5529249205522039,0.0162935058296785,0.6341064207419753,1.747410288205077,1.149348003371626,5,4,Gaming
0,-0.1711022127797769,0.4021781082551086,-0.2527584438542239,-0.5996451529510599,-0.2370384434835873,0.095675696388415,1.149348003371626,4,4,Gaming
0,-0.1711022127797769,0.4021781082551086,2.16429164936506,-0.7741135810854991,-0.255174700198901,-0.4549025008838057,-0.7466567321173342,5,4,Gaming
0,-0.1711022127797769,0.4021781082551086,2.16429164936506,-0.7741135810854991,-0.1463571599070194,0.095675696388415,1.149348003371626,5,4,Gaming
0,-0.1711022127797769,0.4021781082551086,-0.2527584438542239,-0.5996451529510599,-0.3760830783009916,-0.4549025008838057,-0.7466567321173342,4,4,Gaming
2,1.1581625512831553,0.8522113165610491,-0.2527584438542239,0.0162935058296785,0.6093202032310467,1.747410288205077,1.149348003371626,5,4,Gaming
7,0.0369566198561599,0.1021559693844811,-0.2527584438542239,0.0162935058296785,-0.2370384434835873,-0.4549025008838057,-0.114655153621014,10,0,Thiết kế đồ họa / Multimedia
7,-0.8692551845136994,-0.3478772389214594,0.5529249205522039,-0.3864059630089669,0.6093202032310467,0.6462538936606357,-0.7466567321173342,5,2,Di động / Mỏng nhẹ / Ultrabook
2,1.1581625512831553,0.8522113165610491,-0.2527584438542239,0.0162935058296785,0.554971887274157,1.747410288205077,1.149348003371626,5,4,Gaming
2,1.1581625512831553,0.8522113165610491,-0.2527584438542239,0.0162935058296785,0.5005631171282162,0.6462538936606357,0.517346424875306,5,4,Gaming
7,1.2159566714598045,1.0022223859963628,-0.2527584438542239,0.0162935058296785,0.1861408798737296,1.747410288205077,1.149348003371626,4,4,Kỹ thuật / Lập trình
0,0.0369566198561599,0.1021559693844811,0.5529249205522039,0.0162935058296785,-0.5211731320235002,1.1968320909328565,1.149348003371626,4,2,Kỹ thuật / Lập trình
7,1.2159566714598045,1.0022223859963628,-0.2527584438542239,0.0162935058296785,-0.176584254432542,0.6462538936606357,0.517346424875306,4,4,Kỹ thuật / Lập trình
0,-0.1711022127797769,0.4021781082551086,-0.2527584438542239,0.0162935058296785,-0.2092295165201065,-0.4549025008838057,-0.7466567321173342,4,4,Gaming
7,-0.8692551845136994,-0.3478772389214594,-0.2527584438542239,-1.3556750082002973,-0.2007659300529602,0.6462538936606357,-0.7466567321173342,5,2,Di động / Mỏng nhẹ / Ultrabook
7,-0.8692551845136994,-0.3478772389214594,-0.2527584438542239,-1.3556750082002973,-0.1886750922427511,1.1968320909328565,-0.7466567321173342,5,2,Di động / Mỏng nhẹ / Ultrabook
7,-0.8692551845136994,-0.3478772389214594,0.5529249205522039,-0.3864059630089669,0.065232501771639,1.1968320909328565,0.201345635627146,5,2,Di động / Mỏng nhẹ / Ultrabook
