Tên Sản Phẩm,Thông tin,Giá Bán,Giá Gốc,GPU,RAM,Loại RAM,Số khe RAM,Bộ Nhớ,Kích Thước,Màn Hình,Dung Lượng Pin,Hệ Điều Hành,Độ Phân Giải,CPU,Cổng Giao Tiếp,Chip AI,Độ Dày,Trọng Lượng,Hãng Sản Xuất
Laptop ASUS Gaming ROG Zephyrus G14 GA403UU-QS135W,R9-8945HS/16GB/1TB PCIE/VGA 6GB RTX4050/14.0 3K OLED 120HZ/WIN11/XÁM/TÚI/CHUỘT,41490000.0,45990000.0,NVIDIA GeForce RTX 4050 6GB GDDR6 (194 AI TOPs)AMD Radeon Graphics,16GB,LPDDR5X 6400 Onboard (Tốc độ bộ nhớ thực tế có thể thay đổi tùy theo cấu hình CPU),Onboard,1TB PCIe 4.0 NVMe M.2 SSD,14 inches,Thời gian phản hồi 0.2msĐộ sáng 500 nitsĐộ phủ màu DCI-P3 100%G-Sync / Adaptive-SyncROG Nebula DisplaySupport Dolby Vision HDR,"73WHrs, 4S1P, 4-cell Li-ion (Sạc lại từ 0-50% trong 30 phút)",Windows 11 Home,2880 x 1800 pixels,"AMD Ryzen 9 8945HS 4GHz (24MB Cache, up to 5.2 GHz, 8 lõi, 16 luồng)",1x Type-C USB 4 hỗ trợ DisplayPort / cấp nguồn (40Gbps) 1x USB 3.2 Gen 2 Type-C hỗ trợ DisplayPort (10Gbps) 2x USB 3.2 Gen 2 Type-A (10Gbps) 1x đầu đọc thẻ (microSD) (UHS-II) 1x HDMI 2.1 FRL 1x Giắc cắm âm thanh kết hợp 3.5mm,AMD XDNA NPU up to 16TOPS,25.9,1.8,ASUS
Laptop Gaming Acer Nitro V 15 ProPanel ANV15-41-R7AP,R5-7535HS/16GB/512GB PCIE/VGA 4GB RTX2050/15.6 FHD 180HZ/WIN11/ĐEN,19290000.0,22990000.0,NVIDIA GeForce RTX 2050 4GB GDDR6 VRAM,16GB,DDR5 4800 MT/s,"2 khe (1x 16GB, nâng cấp tối đa 64GB)","512GB PCIe NVMe SSD, (Nâng cấp tối đa 4TB PCIe Gen4 NVMe SSD​)",15.6 inches,Độ sáng 300nitsĐộ phủ màu 100% sRGBAcer ComfyVie Màn hình LCD TFT có đèn nền LED Góc nhìn rộng lên đến 170 độ,57Whr 4-cell Adapter: 135W AC adapter,Windows 11 Home Single Language,1920 x 1080 pixels (FullHD),"AMD Ryzen 5 7535HS (6 lõi, 12 luồng, 3.3GHz, 4.55GHz, 3MB L2 cache, 16MB L3 cache)","1x USB Type-C  3x USB Standard A 1x Cổng HDMI 2.1 hỗ trợ HDCP 1x Giắc cắm tai nghe/loa 3,5 mm, hỗ trợ tai nghe có micrô tích hợp 1x Cổng Ethernet (RJ-45) 1x Giắc cắm DC-in cho bộ đổi nguồn AC",,19.5,1.7,Acer
Laptop MSI Gaming Thin 15 B12UC-1416VN V2,I5-12450H/16GB/512GB PCIE/VGA 4GB RTX3050/15.6 FHD 144HZ/WIN11/XÁM/BALO,16490000.0,19990000.0,Intel UHD Graphics + NVIDIA GeForce RTX 3050,16GB,DDR4 3200MHz,"2 khe (2x 8GB, hỗ trợ nâng cấp tối đa 64GB)","1x 512GB M.2-2280 SSD slot (NVMe PCIe Gen4x4), Hỗ trợ nâng cấp: 1x 2.5"""" SATA HDD ",15.6 inches,Độ phủ màu 45% NTSCMàn hình chống chói,"3-cell, 52.4WHr",Windows 11 Home,1920 x 1080 pixels (FullHD),Intel Core i5-12450H ,1x Type-C (USB3.2 Gen1 / DisplayPort) 3x Type-A USB3.2 Gen1 1x HDMI (4K @ 30Hz) 1x RJ45 1x Mic-in 1x Headphone-out,,25.0,2.3,MSI
Laptop HP 15S-FQ5231TU 8U241PA,I3-1215U/8GB/256GB PCIE/15.6 FHD/WIN11/BẠC,9690000.0,11990000.0,Intel UHD Graphics,8GB,DDR4 3200,,256GB M.2 NVMe PCIe,15.6 inches,,3 cell,Windows 11 Home,1080 x 1920 pixels (FullHD),"Core i3 1215U 1.2GHz, Turbo tối đa 4.4ghz (6 nhân, 8 luồng)","1 USB Type-C 5Gbps signaling rate (chỉ hỗ trợ truyền dữ liệu, không hỗ trợ sạc hay xuất hình ảnh)2 USB Type-A 5Gbps 1 AC smart pin1 HDMI 1.4b1 headphone/microphone combo",,18.0,1.6,HP
Laptop ASUS Vivobook 14 X1405VA-LY623W,I5-13420H/16GB/512GB PCIE/14.0 WUXGA/WIN11/BẠC,15690000.0,16490000.0,Intel UHD Graphics,16GB,DDR4,8GB DDR4 on board + 8GB DDR4 SO-DIMM,512GB M.2 NVMe PCIe 4.0 SSD,14 inches,Độ sáng 300nitsĐộ phủ màu 45% NTSCMàn hình chống chói,"42WHrs, 3S1P, 3-cell Li-ion",Windows 11 Home,1920 x 1200 pixels (WUXGA),"Intel Core i5-13420H 2.1 GHz (12MB Cache, up to 4.6 GHz, 8 lõi, 12 luồng)",1x USB 2.0 Type-A (tốc độ dữ liệu lên đến 480Mbps) 1x USB 3.2 Gen 1 Type-C hỗ trợ cấp nguồn (tốc độ dữ liệu lên đến 5Gbps) 2x USB 3.2 Gen 1 Type-A (tốc độ dữ liệu lên đến 5Gbps) 1x HDMI 1.4 1x Giắc cắm âm thanh kết hợp 3.5mm 1x DC-in,,17.7,1.7,ASUS
Laptop Lenovo Gaming Legion 5 Pro 16IRX9 83DF0046VN,I9-14900HX/32GB/1TB PCIE/VGA 8GB RTX4070/16.0 WQXGA 240HZ/WIN11/XÁM,50990000.0,56990000.0,"NVIDIA GeForce RTX 4070 8GB GDDR6, Boost Clock 2175MHz, TGP 140W",32GB,DDR5-5600,2 khe DDR5 SO-DIMM dual-channel (nâng cấp tối đa 32GB DDR5-5600),1TB SSD M.2 2280 PCIe 4.0x4 NVMe,16 inches,Độ sáng 500 inits  Độ phủ màu 100.00% DCI-P3  DisplayHDR 400  Dolby Vision  G-Sync  Giảm ánh sáng xanhMàn hình chống chói,80Wh,Windows 11 Home,2560 x 1600 (WQXGA),"Intel Core i9-14900HX, 24C (8P + 16E) / 32T, P-core 2.2 / 5.8GHz, E-core 1.6 / 4.1GHz, 36MB","1x USB-A luôn bật  3x USB-A   2x USB-C (PD 140W / DisplayPort 1.4) 1x HDMI 2.1, tối đa 8K/60Hz  1x Headphone / microphone combo jack (3.5mm)  1x Ethernet (RJ-45)  1x Đầu nối nguồn",,25.9,2.5,Lenovo
Laptop HP Pavilion X360 14-EK2017TU 9Z2V5PA,CORE 5-120U/16GB/512GB PCIE/14.0 FHD/CẢM ỨNG/BÚT/WIN11/BẠC,23290000.0,24990000.0,,16GB,DDR4 3200MHz Onboard,,512GB SSD PCIe (M.2 2280),14 inches,,3 Cell Int (43.3Wh),Windows 11 Home Single Language 64-bit,1920 x 1080 pixels (FullHD),Intel Core 5 120U (10 lõi) - Max Turbo Frequency: 5.00 GHz,2 x USB 3.2 Gen 1 Type-A 1 x USB 3.2 Gen 2 Type-C (hỗ trợ Power Delivery/DisplayPort/HP Sleep & Charge) 1 x HDMI 1 x giắc cắm âm thanh kết hợp Tai nghe/Micrô,,17.9,1.75,HP
Laptop ASUS Vivobook 15 OLED A1505VA MA468W,I5-13500H/16GB/512GB PCIE/15.6 2.8K OLED/WIN11/ĐEN/CHUỘT,17190000.0,20990000.0,Intel Iris Xe Graphics,16GB,DDR4 (8GB onboard + 8GB SO-DIMM),1 khe DDR4 SO-DIMM,512GB M.2 NVMe PCIe 3.0 SSD,15.6 inches,16:9Độ sáng tối đa HDR 600 nitsĐộ phủ màu 100% DCI-P3tỷ lệ tương phản 1.000.000:1HDR True Black 6001.07 tỷ màuÁnh sáng xanh ít gây hại hơn 70%Chứng nhận TÜV Rheinland SGS Màn hình chăm sóc mắt,"50WHrs, 3S1P, 3-cell Li-ion",Windows 11 Home,2880 x 1620 pixels,"Intel Core I5-13500H 2.6 GHz (18MB Cache, up to 4.7 GHz, 12 lõi, 16 luồng)",1x USB 2.0 Type-A 1x USB 3.2 Gen 1 Type-C (Hỗ trợ sạc) 2x USB 3.2 Gen 1 Type-A 1x HDMI 1.4 1x 3.5mm Combo Audio Jack 1x DC-in,,17.7,1.7,ASUS
Mac mini M4 2024 10CPU 10GPU 16GB 512GB | Chính hãng Apple Việt Nam,,19690000.0,19990000.0,GPU 10 lõi,16GB,,,512GB ,,Hỗ trợ đồng thời đến ba màn hìnhĐầu ra video kỹ thuật số Thunderbolt 4,,macOS,,Apple M4 10 lõi với 4 lõi hiệu năng và 6 lõi tiết kiệm điệnNeural Engine 16 lõi,"Mặt trước:Hai cổng USB‑C hỗ trợ cho USB 3 Jack cắm tai nghe 3,5 mmMặt sau:  Cổng Gigabit Ethernet  Cổng HDMIThunderbolt 4USB 4DisplayPort",,36.0,1.18,Apple
MacBook Air M4 13 inch 2025 10CPU 10GPU 16GB 512GB Sạc 70W | Chính hãng Apple Việt Nam,,32490000.0,32990000.0,GPU 10 lõi Neural Engine 16 lõi Công nghệ dò tia tốc độ cao bằng phần cứngBăng thông bộ nhớ 120GB/s,16GB,,,512GB ,13.6 inches,Màn hình Liquid Retina Có đèn nền LEDMật độ 224 pixel mỗi inchĐộ sáng 500 nitHỗ trợ một tỷ màuDải màu rộng (P3)Công nghệ True Tone,Thời gian xem video trực tuyến lên đến 18 giờThời gian duyệt web trên mạng không dây lên đến 15 giờPin Li-Po 53.8 watt‑giờ tích hợp,macOS,2560 x 1664 pixels,CPU 10 lõi với 4 lõi hiệu năng và 6 lõi tiết kiệm điện ,Cổng sạc MagSafe 3 Jack cắm tai nghe 3.5 mm Hai cổng Thunderbolt 4 (USB-C) hỗ trợ: Sạc  / DisplayPort / Thunderbolt 4 (lên đến 40Gb/s) / USB 4 (lên đến 40Gb/s),,11.3,1.24,Apple
