Title,Information,Price sale,Price origin,Loại card đồ họa,Dung lượng RAM,Loại RAM,Số khe ram,Ổ cứng,Kích thước màn hình,Công nghệ màn hình,Pin,Hệ điều hành,Độ phân giải màn hình,Loại CPU,Cổng giao tiếp,Chip AI
Laptop MSI Gaming Thin 15 B13UC-2044VN,I7-13620H/16GB/512GB PCIE/VGA 4GB RTX3050/15.6 FHD 144HZ/WIN11/XÁM/BALO,19.490.000đ,22.990.000đ,"RTX 3050 4GB, GDDR6 4GBIntel UHD Graphics ",16GB,DDR4 3200Mhz,"2 khe (2x 8GB, hỗ trợ nâng cấp tối đa 64GB)",512GB PCIe,15.6 inches,Độ phủ màu 45% NTSC,"3 cell, 52.4Whr",Windows 11 Home,1920 x 1080 pixels (FullHD),"Intel Core i7-13620H (2.4 - 4.9Ghz | 10 lõi, 16 luồng | 24MB Cache)",1x Type-C (USB3.2 Gen1 / DP) 3x Type-A USB3.2 Gen1 1x HDMI (4K @ 30Hz) 1x RJ45,
Laptop Lenovo IdeaPad Slim 3 OLED 14IRH10 83K0000BVN,i5-13420H/16GB/512GB PCIE/14.0 WUXGA/WIN11/XÁM,17.990.000đ,18.990.000đ,Intel UHD Graphics,16GB,DDR5-4800,8GB Onboard + 8GB SO-DIMM DDR5-4800 (Nâng cấp tối đa 24GB (8GB Onboard + 16GB SO-DIMM)),512GB SSD M.2 2242 PCIe 4.0x4 NVMe,14 inches,Độ sáng 400nitsĐộ phủ màu 100% DCI-P3,Đầu tròn 65W (3 chân),"Windows 11 Home Single Language, English Office Trial",1920 x 1200 pixels (WUXGA),"Intel Core i5-13420H (8 lõi (4P + 4E) / 12 luồng, P-core 2.1/4.6GHz, E-core 1.5/3.4GHz, 12MB)","2x USB-A (5Gbps / USB 3.2 Gen 1) 1x USB-C (5Gbps / USB 3.2 Gen 1), với USB PD 3.0 và DisplayPort 1.2 1x HDMI 1.4 1x giắc cắm kết hợp tai nghe / micrô (3,5 mm) 1x đầu nối nguồn",
Laptop MSI Prestige 14 EVO B13M-401VN,I5-13500H/16GB/512GB PCIE/14.0 FHD+/WIN11/BẠC/BALO,17.990.000đ,19.990.000đ,Intel Iris Xe graphics,16GB,LPDDR5-4800,,512 GB SSD NVMe PCIe Gen 4.0,14 inches,,4-Cell 72 Battery (Whr),Windows 11 Home,1920 x 1200 pixels (FullHD+),"Intel Core i5 - 13500H (12 lõi / 16 luồng, 2.60 GHz, Turbo Boost 4.7 GHz,18 MB)",2x Thunderbolt 4 (DisplayPort/ Power Delivery 3.0) 1x Type-A USB3.2 Gen2 1x Đầu đọc thẻ Micro SD 1x HDMI 2.1 (4K @ 60Hz)1x Mic-in/Headphone-out Combo Jack,,
MacBook Air M4 15 inch 2025 10CPU 10GPU 24GB 512GB Sạc 70W | Chính hãng Apple Việt Nam,,42.490.000đ,42.990.000đ,GPU 10 lõiNeural Engine 16 lõiCông nghệ dò tia tốc độ cao bằng phần cứngBăng thông bộ nhớ 120GB/s,24GB,,,512GB,15.3 inches,Màn hình Liquid RetinaCó đèn nền LEDMật độ 224 pixel mỗi inchĐộ sáng 500 nitHỗ trợ một tỷ màuDải màu rộng (P3)Công nghệ True Tone,Thời gian xem video trực tuyến lên đến 18 giờThời gian duyệt web trên mạng không dây lên đến 15 giờPin Li-Po 66.5 watt‑giờ tích hợp,macOS,2880 x 1864 pixels,CPU 10 lõi với 4 lõi hiệu năng và 6 lõi tiết kiệm điện,Cổng sạc MagSafe 3 Jack cắm tai nghe 3.5 mm Hai cổng Thunderbolt 4 (USB-C) hỗ trợ: Sạc / DisplayPort / Thunderbolt 4 (lên đến 40Gb/s) / USB 4 (lên đến 40Gb/s),,
Laptop ASUS ExpertBook P5 P5405CSA-NZ0017W,U7-258V/32GB/1TB PCIE/14.0 WQXGA 144HZ/WIN11/XÁM/TÚI/CHUỘT,29.690.000đ,34.990.000đ,Intel Arc 140V GPU,32GB,LPDDR5X Onboard,,1TB M.2 2280 NVMe PCIe 4.0 SSD,14 inches,Độ sáng 400nitsMàn hình chống chóiĐộ phủ màu sRGB: 100%Góc nhìn 178/178,"63WHrs, 3S1P, 3-cell Li-ion",Windows 11 Home,2560 x 1600 (WQXGA),"Intel Core Ultra 7 258V 32GB 1.8 GHz (12MB Cache, up to 4.8 GHz, 8 lõi, 8 luồng)","2x USB 3.2 Gen 2 Type-A 2x Thunderbolt 4, tương thích với USB4, hỗ trợ display / sạc 1x HDMI 2.1 1x 3.5mm Combo Audio Jack",Intel AI Boost NPU up to 47 TOPS,
Laptop Acer Swift 14 AI SF14-51-53P9,U5-226V/16GB/1TB PCIE/14.0 3K OLED/WIN11/XANH,34.990.000đ,,Intel Arc Graphics 130V,16GB,LPDDR5X 8533 MT/s,Onboard,1TB PCIe NVMe SSD (nâng cấp tối đa 2 TB SSD),14 inches,"Độ phủ màu DCI-P3 100%/Adobe100%Chứng nhận TÜV Rheinland Eyesafe 2.0 DisplayHDR True Black 500 Độ sáng tối đa 500nits Tỷ lệ tương phản 1.000.000:1 Góc nhìn rộng lên đến 170 độ Không chứa thủy ngân, thân thiện với môi trường","Pin Li-ion 3 cell 65 Wh 3 pin USB Type-C 65 W PD PCR 50%, Bộ đổi nguồn AC TCO 9.0",Windows 11 Home SL,2880 x 1800 pixels,"Intel Core Ultra 5 226V (8 lõi / 8 luồng, 3.5 GHz - 4.5 GHz, 8 MB Intel Smart Cache)",2x USB Type-C (USB4 40Gbps / DisplayPort qua USB-C / Thunderbolt 4 / Sạc) 2x USB-A (Một cổng cho USB 3.2 Gen 1/ Một cổng cho USB 3.2 Gen 1 có chức năng sạc USB khi tắt nguồn) Cổng HDMI 2.1 hỗ trợ HDCP Giắc cắm tai nghe/loa,,
Laptop LG Gram 2024 17Z90S-G.AH78A5,U7-155H/16GB/1TB PCIE/17.0 2560x1600 DCI-P3 99%/WIN 11/ĐEN,34.990.000đ,49.290.000đ,Intel Arc Graphics,16GB,LPDDR5X 7467MHz Onboard,2 khe (8GB + 8GB),"1TB M.2(2280) Dual SSD slots, Gen4",17 inches,Tỉ lệ 16:10Độ phủ màu DCI-P3 99% Màn hình chống chóiĐộ sáng 350 nit,77 Wh Li-Ion,Windows 11 Home,2560 x 1600 (WQXGA),Intel Core Ultra U7-155H,"HDMI (4K@60Hz) 2x USB 3.2 Gen2x1 2x USB 4 Gen3x2 Type C (Sạc, DisplayPort, Thunderbolt 4) 4Pole Headset, US type 10/100 with RJ45 adapter (Option)",,
Laptop Lenovo V14 G4 IRU 83A00012VN,I7-1355U/16GB/512GB PCIE/14.0 FHD/WIN11/XÁM,16.990.000đ,19.990.000đ,Intel Iris Xe Graphics,16GB,DDR4-3200,"2 khe (8GB Soldered DDR4-3200 + 8GB SO-DIMM DDR4-3200, tối đa 16GB)","512GB SSD M.2 2242 PCIe 4.0x4 NVMe (tối đa hai ổ đĩa, 1x 2,5"" HDD + 1x M.2 SSD, 2,5"" HDD lên đến 1TB, M.2 2242 SSD up to 512GB)",14 inches,Độ sáng 300nits Màn hình chống chóiĐộ phủ màu 45% NTSC,38Wh (Đầu tròn 65W (3 chân)),"Windows 11 Home Single Language, English",1920 x 1080 pixels (FullHD),"Intel Core i7-1355U, 10 lõi (2P + 8E) / 12 luồng, P-core 1.7 / 5.0GHz, E-core 1.2 / 3.7GHz, 12MB","1x USB 2.0 1x USB 3.2 Gen 1 1x USB-C 3.2 Gen 1 (truyền dữ liệu, Power Delivery (chỉ 20V) và DisplayPort 1.2) 1x HDMI 1.4b 1x giắc cắm kết hợp tai nghe/micrô (3,5mm) 1x Ethernet (RJ-45) 1x đầu nối nguồn",,
Laptop ASUS Vivobook 15 OLED S5507QA-MA090WS,COPILOT+ X ELITE X1E/32GB/1TB PCIE/15.6 3K OLED/WIN 11 + OFFICE/BẠC,28.990.000đ,34.990.000đ,Qualcomm Adreno GPU Tiến trình chip mới nên có thể không kết nối được với các thiết bị có driver cũ,32GB,LPDDR5X Onboard,,1TB M.2 NVMe PCIe 4.0 SSD,15.6 inches,Thời gian phản hồi 0.2ms Độ sáng 600nits HDR Độ phủ màu 100% DCI-P31.07 tỷ màuHDR True Black 600TÜV Rheinland-certifiedMàn hình chăm sóc mắt SGS,"70WHrs, 3S1P, 3-cell Li-ion",Windows 11 Home + Microsoft Office Home & Student 2021 + Microsoft 365 Basic,2880 x 1620 pixels,"Snapdragon X Elite X1E 78 100 3.4GHz (42MB Cache, up to 3.4GHz, 12 lõi, 12 luồng)",2x USB 3.2 Gen 1 Type-A 2x USB 4.0 Gen 3 Type-C (display / Sạc) 1x HDMI 2.1 TMDS 1x 3.5mm Combo Audio Jack Đầu đọc thẻ Micro SD,Qualcomm Hexagon NPU up to 45TOPS,
Laptop Dell Vostro 3520 Y4G15,I7-1255U/8GB/512GB PCIE/VGA 2GB MX550/15.6 FHD/FREE OS/ĐEN/NHẬP KHẨU CHÍNH HÃNG,16.990.000đ,18.990.000đ,"NVIDIA GeForce MX550, 2 GB, GDDR6",8GB,"DDR4, 2666 MHz",,"512 GB, M.2 2230, PCIe NVMe SSD",15.6 inches,"Màn hình chống chói Độ phủ màu 45% NTSCĐộ sáng 250 nitsAG, Flat","4-cell, 54 Wh lithium-polymer",Free OS,1920 x 1080 pixels (FullHD),"Intel Core i7-1255U (12 MB cache, 10 lõi / 12 luồng, 1.70 GHz to 4.70 GHz, 15 W)",2x USB 3.2 Gen 1 1x USB 2.0 1x Tai nghe (kết hợp tai nghe và micrô) 1x HDMI 1.4  1x RJ45 Ethernet,,
Laptop Dell Inspiron 15 3530 P16WD2,I5-1334U/16GB/512GB PCIE/15.6 FHD 120HZ/WIN11 + OFFICE/ĐEN,17.990.000đ,19.190.000đ,Intel Iris Xe Graphics ,16GB,DDR4 2666MHz,"2 khe (2x 8GB, nâng cấp tối đa 16GB)",512GB SSD PCIe (M.2 2230) - combo M.2 2230/2280 nâng cấp tối đa 2.0TB,15.6 inches,Màn hình chống chói  LED Backlit,3 Cell Int (41Wh),Windows 11 Home Single Language 64-bit + Office Home & Student 2021,1920 x 1080 pixels (FullHD),13th Gen Intel Core i5-1334U 3.4hz (10 cores) - Max Turbo Frequency: 4.60 GHz,1 x USB 2.0 Type-A 1 x USB 3.2 Gen 1 Type-A 1 x USB 3.2 Gen 1 Type-C 1 x HDMI 1 x Headphone/ Microphone  combo audio jack 1 x SATA,,
Laptop Acer Swift Lite 14 AI SFL14-51M-78XZ,U7-155U/16GB/512GB PCIE/14.0 FHD+/WIN11/BẠC,21.990.000đ,22.990.000đ,Intel Graphics ,16GB,DDR5 5600 MT/s,"2 khe (2 x 8GB, nâng cấp tối đa 32GB)",512GB PCIe NVMe SSD (Nâng cấp tối đa 2TB),14 inches,Độ sáng 300 nitsĐộ phủ màu 45% NTSCAcer ComfyView LED-backlit TFT LCD,58Whr 3-cell 65W PD Type-C Adapter,Windows 11 Home SL,1920 x 1200 pixels (FullHD+),"Intel Core Ultra 7 155U (12 lõi / 14 luồng, 3.8 GHz, 4.8 GHz, 12 MB Intel Smart Cache)","1x USB Type-C  3x USB-A  1x Khe cắm microSD lên đến 512 GB (tương thích SDXC, tương thích exFAT) 1x HDMI 1.4 port hỗ trợ HDCP1 x Headphone/speaker jack",,
Laptop MSI Modern 15 B12MO-628VN,I5-1235U/16GB/512GB PICE/15.6 FHD/WIN11/ĐEN,12.190.000đ,14.490.000đ,Intel Iris Xe graphics,16GB,DDR4-3200 Onboard,,512GB PICE M.2 SSD (NVMe PCIe Gen3),15.6 inches,,"3-Cell, 39.3 Wh",Windows 11 Home,1920 x 1080 pixels (FullHD),Intel Core i5-1235U,1x Type-C (USB3.2 Gen2 / DP) với sạc PD 1x Type-A USB3.2 Gen2 2x Type-A USB2.0 1x Đầu đọc thẻ Micro SD 1x HDMI (4K @ 30Hz) 1x Mic-in/Headphone-out Combo Jack,,
Laptop Dell Vostro 3520,I7-1255U/8GB/512GB PCIE/VGA 2GB MX550/15.6 FHD/FREE OS/XÁM/NHẬP KHẨU CHÍNH HÃNG,17.990.000đ,18.990.000đ,NVIDIA® Geforce ® MX550 2GB GDDR5,8GB,DDR4 3200 Mhz,,"512GB , M.2 NVMe SSD",15.6 inches,Độ sáng 250 nitChống chói,,Free OS,1080 x 1920 pixels (FullHD),"Intel Core i7-1255U (2.4Ghz,12MB cache, Up to 4,4Ghz Turbo )",1 USB 3.2 Gen 1 1 USB 2.0  1 headset  1 HDMI 1.4 HDMI 1.4 (xuất ảnh 1920x1080 @60Hz) 1 RJ45 Ethernet port (flip-down),,
Laptop Acer Swift Go 14 AI SFG14-73-71ZX NX.KSLSV.002,U7-155H/16GB/512GB PCIE/14.0 2.8K/WIN11/BẠC,26.290.000đ,26.990.000đ,Intel Arc Graphics,16GB,LPDDR5x 6400MHz Onboard,,512GB SSD M.2 NVMe,14 inches,,"4 cell 65 Wh , Pin liền",Windows 11 Home SL,2880 x 1800 pixels,"Intel Core Ultra 7-155H ( 3.8 GHz - 4.8 GHz / 24MB / 16 nhân, 22 luồng )",2 x USB 3.22 x Thunderbolt 4 1 x micro SD card slot Audio combo1 x HDMI,,
Laptop Acer Swift 14 AI SF14-51-75VP,U7-258V/32GB/1TB PCIE/14.0 3K OLED/WIN11/XANH,39.990.000đ,,Intel Arc Graphics 140V,32GB,LPDDR5X 8533 MT/s,1x 32GB Onboard,1TB PCIe NVMe SSD (nâng cấp tối đa 2 TB SSD),14 inches,"Độ phủ màu DCI-P3 100%/Adobe100%Chứng nhận TÜV Rheinland Eyesafe 2.0 DisplayHDR True Black 500 Độ sáng tối đa 500nits Tỷ lệ tương phản 1.000.000:1 Góc nhìn rộng lên đến 170 độ Không chứa thủy ngân, thân thiện với môi trường","Pin Li-ion 3 cell 65 Wh 3 pin USB Type-C 65 W PD PCR 50%, Bộ đổi nguồn AC TCO 9.0",Windows 11 Home SL,2880 x 1800 pixels,"Intel Core Ultra 7 258V (8 lõi / 8 luồng, 3.7 GHz - 4.8 GHz, 12 MB Intel Smart Cache)",2x USB Type-C (USB4 40Gbps / DisplayPort qua USB-C / Thunderbolt 4 / Sạc) 2x USB-A (Một cổng cho USB 3.2 Gen 1/ Một cổng cho USB 3.2 Gen 1 có chức năng sạc USB khi tắt nguồn) Cổng HDMI 2.1 hỗ trợ HDCP Giắc cắm tai nghe/loa,,
Laptop Dell Inspiron 15 3520 8D10NK,I5-1235U/16GB/512GB PCIE/15.6 FHD 120HZ/WIN11 + OFFICE/BẠC,16.490.000đ,,Intel Iris Xe Graphics,16GB,DDR4 2666Mhz,2 x 8GB DDR4,512GB SSD PCIe (M.2 2230) - combo M.2 2230/2280,15.6 inches,Màn hình chống chói,3 Cell Int (41Wh),Windows 11 Home Single Language 64-bit + Office Home & Student 2021,1920 x 1080 pixels (FullHD),Intel Core i5-1235U (10 lõi) - Max Turbo Freque,1 x USB 2.0 Type-A 2 x USB 3.2 Gen 1 Type-A 1 x HDMI 1 x Headphone SD-Card,,
Laptop MSI Cyborg 15 A1VEK-053VN,U7-155H/16GB/512GB PCIE/VGA 6GB RTX4050/15.6 FHD 144HZ/WIN11/ĐEN/BALO,27.990.000đ,30.990.000đ,"RTX 4050, GDDR6 6GB",16GB,DDR5,2 khe,512GB NVMe PCIe SSD Gen4x4 w/o DRAM,15.6 inches, 45%NTSC IPS-Level,"3 Cell, 53.5Whr",Windows 11 Home,1920 x 1080 pixels (FullHD),Intel Core Ultra 7 155H,1x Type-C (USB3.2 Gen2 / DP)2x Type-A USB3.2 Gen1 1x RJ41x HDMI™ 2.1 (4K @ 60Hz)1x Mic-in/Headphone-out Combo Jack1 x MicroSD Reader,,
Laptop Lenovo IdeaPad Slim 3 OLED 15IRH10 83K1002NVN,I5-13420H/24GB/512GB PCIE/15.1 WQXGA OLED 165HZ/WIN11/XÁM,19.990.000đ,20.990.000đ,Intel UHD Graphics,24GB,DDR5-4800,"2 khe (8GB Soldered DDR5-4800 + 16GB SO-DIMM DDR5-4800, tối đa 24GB)","512GB SSD M.2 2242 PCIe 4.0x4 NVMe (Tối đa hai ổ đĩa, 2x M.2 SSD • M.2 2242 SSD lên đến 1TB)",15.1 inches,Độ sáng 500nits Glossy Độ phủ màu 100% DCI-P3 DisplayHDR True Black 600,60WhĐầu tròn 65W (3 chân),"Windows 11 Home Single Language, English",2560 x 1600 (WQXGA),"Intel Core i5-13420H, 8 lõi (4P + 4E) / 12 luồng, P-core 2.1 / 4.6GHz, E-core 1.5 / 3.4GHz, 12MB","2x USB-A (USB 5Gbps / USB 3.2 Gen 1) 1x USB-C (USB 5Gbps / USB 3.2 Gen 1), với USB PD 3.0 và DisplayPort 1.2 1x HDMI 1.4 1x giắc cắm kết hợp tai nghe / micrô (3.5 mm) 1x đầu đọc thẻ SD 1x đầu nối nguồn",,
Laptop MSI Katana 15 B13VEK-252VN,I7-13620H/8GB/512GB PCIE/VGA 6GB RTX4050/15.6 FHD/WIN11/ĐEN/BALO,23.990.000đ,32.990.000đ,NVIDIA GeForce RTX 4050 6GB GDDR6,8GB,DDR5 5200 MHz,2 khe (Nâng cấp tối đa 64GB),512GB SSD M2. PCIe1 khe trống ,15.6 inches,Độ sáng 250 nits Độ phủ màu 45% NTSC,"3 cell, 53.5Whr",Windows 11 Home,1920 x 1080 pixels (FullHD),"Intel Core i7 13620H (up to 4.90 GHz, 10 lõi / 16 luồng, 64 MB, 8 GT/s)",1x HDMI  1x LAN 1x Type C 1x USB 2.0 2x USB 3.2 Gen 11x RJ45,,
Laptop ASUS VivoBook 15 OLED A1505VA-L1201W,I9-13900H/16GB/512GB PCIE/15.6 FHD OLED/WIN11/BẠC,21.490.000đ,24.990.000đ,Intel Iris Xe Graphics,16GB,DDR4,2 khe (8GB DDR4 Onboard + 8GB DDR4 SO-DIMM),512GB M.2 NVMe PCIe 3.0 SSD,15.6 inches,Thời gian phản hồi 0.2msTần số quét 60HzĐộ sáng tối đa 600nits HDRĐộ phủ màu 100% DCI-P3Display HDR True Black 6001.07 tỷ màuTÜV Rheinland-certifiedSGS Eye Care Display,"50WHrs, 3S1P, 3-cell Li-ion",Windows 11 Home,1920 x 1080 pixels (FullHD),"Intel Core i9-13900H 2.6 GHz (24MB Cache, up to 5.4 GHz, 14 lõi / 20 luồng)",1x USB 2.0 Type-A 1x USB 3.2 Gen 1 Type-C (Sạc) 2x USB 3.2 Gen 1 Type-A 1x HDMI 1.4 1x 3.5mm Combo Audio Jack 1x DC-in,,
Laptop Acer Aspire Lite AL14-51M-59BN NX.KTXSV.001,I5-1235U/16GB/512GB PCIE/14.0 WUXGA/WIN11/BẠC,0đ,,Intel UHD Graphics,16GB,DDR5 4800MHz,2 khe cắm,512GB SSD M.2 NVMe ,14 inches,,"3 cell 58 Wh , Pin liền",Windows 11 Home SL,1920 x 1200 pixels (WUXGA),"Intel Core i5-1235U (1.3 GHz - 4.4 GHz / 12MB / 10 nhân, 12 luồng )",1 x USB Type C/DisplayPort/Power Delivery 3 x USB 3.11 x HDMI 1x Audio combo,,
Laptop ASUS ROG Strix SCAR 18 G835LW-SA172W,U9-275HX/64GB/4TB PCIE/VGA 16GB RTX5080/18.0 2.5K MINILED 240HZ/WIN11/ĐEN/BALO/CHUỘT,121.990.000đ,,"NVIDIA GeForce RTX 5080 16GB GDDR7 ROG Boost: 1550MHz* at 175W (1500MHz Boost Clock+50MHz OC, 150W+25W Dynamic Boost)",64GB,DDR5-5600 SO-DIMM,"2 khe (2x 32GB, tối đa 64GB)",2TB + 2TB PCIe 4.0 NVMe M.2 Performance SSD (RAID 0),18 inches,Độ sáng 1200 nitsĐộ phủ màu DCI-P3 100%Màn hình chống chóiG-SyncROG Nebula HDR DisplayDolby Vision HDRROG intelligent cooling,"90WHrs, 4S1P, 4-cell Li-ion Sạc lại từ 0-50% trong 30 phút",Windows 11 Home,2560 x 1600 pixels (2.5K),"Intel Core Ultra 9 275HX 2.7 GHz (36MB Cache, up to 5.4 GHz, 24 lõi, 24 luồng)",1x LAN 2.5G 2x Thunderbolt 5 hỗ trợ DisplayPort / cung cấp điện / G-SYNC (120Gbps) 3x USB 3.2 Gen 2 Type-A (10Gbps) 1x HDMI 2.1 FRL 1x Giắc cắm âm thanh kết hợp 3.5mm,Intel AI Boost NPU up to 13TOPS,
Laptop MSI Modern 14 C13M-608VN - Đã Kích Hoạt,I5-1335U/16GB/512GB PCIE/14.0 FHD/WIN11/ĐEN,11.490.000đ,,,,,,,,,,,,,,,
Laptop ASUS TUF Gaming A15 FA506NCR-HN097W,R7-7435HS/16GB/512GB PCIE/VGA 4GB RTX3050/15.6 FHD 144HZ/WIN11/ĐEN,19.790.000đ,21.990.000đ,NVIDIA GeForce RTX 3050 4GB GDDR6  AMD Radeon Graphics,16GB,DDR5-5600 SO-DIMM,2 khe (Tối đa 32GB),"512GB PCIe 4.0 NVMe M.2 SSD (2 Khe cắm M.2 hỗ trợ SATA hoặc NVMe, Tối đa 1TB)",15.6 inches,"Độ sáng 250nitsĐộ phủ màu NTSC 45%, SRGB 62.5%, Adobe 47.34%Màn hình chống chóiAdaptive-Sync","48WHrs, 3S1P, 3-cell Li-ion (Sạc lại từ 0-50% trong 30 phút)",Windows 11 Home,1920 x 1080 pixels (FullHD),"AMD Ryzen 7 7435HS 3.1GHz (20MB Cache, up to 4.5 GHz, 8 lõi, 16 luồng)",1x Cổng LAN RJ45 1x USB 3.2 Gen 2 Type-C hỗ trợ DisplayPort 3x USB 3.2 Gen 1 Type-A 1x HDMI 2.1 TMDS 1x Giắc cắm âm thanh kết hợp 3.5 mm Micrô mảng tích hợp,,
Laptop Acer Gaming Predator Helios Neo 16S AI PHN16S-71-94T0,U9-275HX/32GB/2TB PCIE/VGA 12GB RTX5070TI/16.0 2K+ OLED 240HZ/WIN11/ĐEN,64.490.000đ,,"NVIDIA GeForce RTX 5070 Ti với 12 GB GDDR7 VRAM chuyên dụng, hỗ trợ 5888 lõi NVIDIA CUDA",32GB,DDR5 Up to 6400 MT/s,"2 khe (2x 16GB, Nâng cấp tối đa 96GB)","2 TB M.2 NVMe (2 khe, 1TB*2)",16 inches,AcerCineCrystal True Black HDR 500(@HDR 500 Có khả năng Nvidia Advanced OptimusĐộ phủ màu 100% DCI-P3Độ sáng 500nits,76Wh 4-cell Li-ion  230W 5.5 PHY PCR 50% AC adapter,Windows 11 Home Single Language,2560 x 1600 pixels (2K),"Intel Core Ultra 9 275HX (24 lõi / 24  luồng, 4.6 GHz (e-core) 5.4 GHz 36MB Cache)","2x USB Type-C 3x USB-A 1x HDMI 2.1 hỗ trợ HDCP 1x Ethernet (RJ-45) 1x đầu đọc thẻ Micro SD 1x giắc cắm DC-in cho bộ đổi nguồn AC 1x giắc cắm tai nghe/loa 3.5 mm, hỗ trợ tai nghe có tích hợp micrô",Hiệu suất AI GPU (TOPs) 992 TOPSHiệu suất AI NPU (TOPs) 13 TOPS,
Laptop MSI Sword 16 HX B14VFKG-045VN,I7-14700HX/16GB/1TB PCIE/VGA 8GB RTX4060/16.0 QHD+ 240HZ/WIN11/XÁM/BALO,36.990.000đ,39.990.000đ,NVIDIA GeForce RTX 4060 8GB GDDR6 Intel UHD Graphics,16GB,DDR5 5600MHz ,"2 khe (1 khe 8GB DDR5 + 1 khe 8GB DDR5, hỗ trợ tối đa 96GB) ",1TB SSD M.2 NVMe (2 x M.2 NVMe),16 inches,,"4 cell 65 Wh, pin liền",Windows 11 Home SEA,2560 x 1600 pixels (2K),"Intel Core i7-14700HX (2.1 GHz - 5.5 GHz / 33MB / 20 nhân, 28 luồng )",1 x USB Type C / DisplayPort 3 x USB 3.2 Audio combo LAN 1 Gb/s 1 x HDMI,,
iMac M3 24 inch 8CPU 8GPU 16GB 512GB | Chính hãng Apple Việt Nam,,33.990.000đ,46.990.000đ,GPU 8 lõi,16GB,,,512GB,24 inches,Độ sáng 500 nitDải màu rộng (P3)True Tone,,macOS,4480 x 2520 (4.5K),Apple M3 8 lõi với 4 lõi hiệu năng và 4 lõi tiết kiệm điệnNeural Engine 16 lõi,"DisplayPortThunderbolt 3 (lên đến 40Gb/s)USB 4 (lên đến 40Gb/s)USB 3.1 Gen 2 (lên đến 10Gb/s)Hỗ trợ Thunderbolt 2, HDMI, DVI và VGA sử dụng bộ tiếp hợp (được bán riêng)",,
Laptop Dell G15 5530 i9HX161W11GR4060,I9-13900HX/16GB/1TB PCIE/VGA 8GB RTX4060/15.6 FHD 165HZ/WIN11 + OFFICE/ĐEN,40.990.000đ,46.190.000đ,"NVIDIA GeForce RTX 4060, 8GB GDDR6",16GB,DDR5 4800MHz,"2 khe (2x 8GB, nâng cấp tối đa 32GB)",1TB M.2 PCIe NVMe SSD,15.6 inches,ComfortViewPlus  NVIDIA GSYNC+ DDS Display,"Pin liền,6-Cell Battery, 86WHr (Integrated), 330W",Windows 11 Home + Office Home & Student 2021,1920 x 1080 pixels (FullHD),"Intel Core i9-13900HX (36MB Cache, Turbo Boost 5.4 GHz)",1x RJ-45 3x USB 3.2 Gen 1 1x USB 3.2 Gen 2 (Type-C) có DisplayPort 1x giắc cắm tai nghe đa năng 1x HDMI 2.1,,
Laptop MSI Prestige 13 AI Evo A1MG-241VN,U5-125H/16GB/512GB PCIE/13.3 2.8K OLED/WIN11/TRẮNG/TÚI,24.990.000đ,28.990.000đ,Intel Arc Graphics,16GB,LPDDR5X/ 8533MHz,Onboard,512GB SSD PCIe (M.2 2280),13.3 inches,Màn hình bóng,4 Cell Int (75Wh),Windows 11 Home Single Language 64-bit,2880 x 1800 pixels,Intel Core Ultra 5 125H (14 lõi) - Max Turbo Frequency: 4. 50 GHz,1 x USB 3.2 Gen 1 Type-A 2 x Thunderbolt 4 (Power Delivery/DisplayPort) 1 x HDMI 1 x Headphone/Microphone combo audio jack,Intel AI Boost,
Laptop LG Gram 2024 16Z90S-G.AH76A5,U7-155H/16GB/512GB PCIE/16.0 2560x1600 DCI-P3 99%/WIN 11/XÁM,34.990.000đ,45.490.000đ,Intel Arc Graphics,16GB,LPDDR5X 7467MHz Onboard,2 khe (8GB + 8GB),"512GB M.2(2280) Dual SSD slots, Gen 4.0 - trống 1 khe",16 inches,Tỉ lệ 16:10Độ phủ màu DCI-P3 99% Màn hình chống chóiĐộ sáng 350 nit,77 Wh Li-Ion,Windows 11 Home,2560 x 1600 (WQXGA),Intel Core Ultra U7-155H,"HDMI (4K@60Hz) 2x USB 3.2 Gen2x1 2x USB 4 Gen3x2 Type C (Sạc, DisplayPort, Thunderbolt 4) 4Pole Headset, US type 10/100 with RJ45 adapter (Option)",,
Laptop MSI Prestige 13 AI Evo A1MG-240VN,U5-125H/32GB/512GB PCIE/13.3 2.8K OLED/WIN11/TRẮNG/TÚI,26.990.000đ,30.990.000đ,Intel Arc Graphics,32GB,LPDDR5X/ 8533MHz,Onboard,512GB SSD PCIe (M.2 2280),13.3 inches,Màn hình bóng,4 Cell Int (75Wh),Windows 11 Home Single Language 64-bit,2880 x 1800 pixels,Intel Core Ultra 5 125H (14 lõi) - Max Turbo Frequency: 4. 50 GHz,1 x USB 3.2 Gen 1 Type-A 2 x Thunderbolt 4 (Power Delivery/DisplayPort) 1 x HDMI 1 x Headphone/Microphone combo audio jack,Intel AI Boost,
