Title,Information,Price sale,Price origin,Loại card đồ họa,Dung lượng RAM,Loại RAM,Số khe ram,Ổ cứng,Kích thước màn hình,Công nghệ màn hình,Pin,Hệ điều hành,Độ phân giải màn hình,Loại CPU,Cổng giao tiếp,Chip AI
Mac mini M2 2023 (8 CPU - 10 GPU - 16GB - 512GB) | Chính hãng Apple Việt Nam,,15.990.000đ,27.990.000đ,10 nhận GPU16 nhân Neural Engine,16GB,16GB,,512GB SSD,,Hỗ trợ xuất hình ảnh 6K 60HZ qua cổng ThunderboltXuất hình ảnh 4K qua cổng HDMI,,,,Apple M2 8 nhân ,"Jack 3.5mm, cổng HDMI, 2 cổng USB-A, Cổng Ethernet",
Laptop ASUS Zenbook S 14 OLED UX5406SA-PV140WS,U7-258V/32GB/1TB PCIE/14.0 3K OLED 120HZ/WIN11/TRẮNG/TÚI,41.990.000đ,44.990.000đ,Intel Arc Graphics,32GB,LPDDR5X Onboard,,1TB M.2 NVMe PCIe 4.0 SSD,14 inches,Thời gian phản hồi 0.2ms Độ sáng tối đa 500nits HDRĐộ phủ màu 100% DCI-P3  Display HDR True Black 5001.07 tỷ màuGiảm ánh sáng xanh 70%TÜV Rheinland-certifiedSGS Eye Care Display,"72WHrs, 2S2P, 4-cell Li-ion",Windows 11 Home Microsoft Office Home & Student 2021 + Microsoft 365 Basic,2880 x 1800 pixels,"Intel Core Ultra 7-258V 32GB 1.8 GHz (12MB Cache, up to 4.8 GHz, 8 lõi, 8 luồng)",1x USB 3.2 Gen 2 Type-A 2x Thunderbolt 4 (display / Sạc) 1x HDMI 2.1 TMDS 1x 3.5mm Combo Audio Jack,"Intel AI Boost NPU lên đến 47 TOPs, tổng hiệu năng AI lên đến 120 TOPS"
Laptop ASUS Vivobook 15 OLED A1505VA-MA492W,I7-13700H/16GB/512GB PCIE/15.6 2.8K OLED/WIN11/BẠC,20.490.000đ,21.990.000đ,Intel Iris Xe Graphics,16GB,DDR4,8GB DDR4 on board + 8GB DDR4 SO-DIMM,512GB M.2 NVMe PCIe 4.0 SSD,15.6 inches,Tỷ lệ 16:9  Thời gian phản hồi 0.2 ms  Độ sáng tối đa 600nits HDR  Độ phủ màu 100% DCI-P3  HDR True Black 600  1.07 tỷ màu  Giảm ánh sáng xanh  SGS Eye Care Display  Gamut mapping  Pantone,"50WHrs, 3S1P, 3-cell Li-ion",Windows 11 Home,2880 x 1620 pixels,"Intel Core i7-13700H 2.4 GHz (24MB Cache, up to 5.0 GHz, 14 lõi, 20 luồng)",1x USB 2.0 Type-A  1x USB 3.2 Gen 1 Type-C  2x USB 3.2 Gen 1 Type-A  1x HDMI 1.4  1x 3.5mm Combo Audio Jack  1x DC-in,
Laptop Lenovo LOQ 15IRX9 83DV00UFVN,I7-13650HX/24GB/512GB PCIE/VGA 8GB RTX4060/15.6 FHD 144HZ/WIN11/XÁM,31.990.000đ,35.990.000đ,"NVIDIA GeForce RTX 4060 8GB GDDR6, Boost Clock 2370MHz, TGP 115W, 233 AI TOPS",24GB,DDR5-4800,2x 12GB SO-DIMM DDR5-4800 (Nâng cấp tối đa 32GB),"512GB SSD M.2 2242 PCIe 4.0x4 NVMe (Tối đa hai ổ đĩa, 2x M.2 SSD / Nâng cấp lên đến 1TB)",15.6 inches,Độ sáng 300nits Màn hình chống chóiĐộ phủ màu 100% sRGB  G-SYNC,60Wh,Windows 11 Home Single Language,1920 x 1080 pixels (FullHD),"Intel Core i7-13650HX, 14C (6P + 8E) / 20T, P-core 2.6 / 4.9GHz, E-core 1.9 / 3.6GHz, 24MB","3x USB-A (USB 5Gbps / USB 3.2 Gen 1)  1x USB-C (USB 10Gbps / USB 3.2 Gen 2), với Lenovo PD 140W và DisplayPort 1.4  1x HDMI 2.1, up to 8K/60Hz  1x Headphone / microphone combo jack (3.5mm)  1x Ethernet (RJ-45)  1x Đầu nối nguồn",
Laptop Acer Aspire Lite 15 AL15-71P-517D,I5-12450H/24GB/512GB PCIE/15.6 FHD/WIN11/BẠC,14.490.000đ,15.490.000đ,Intel UHD Graphics,24GB,DDR45 4800MHz,"2 khe rời (Máy nguyên bản 16GB, được tặng 8GB, nâng cấp tối đa 64GB)",512GB PCIe NVMe SSD,15.6 inches,Độ sáng 250nitsAcer ComfyView,58Wh 3-cell Li-ion battery,Windows 11 Home,1920 x 1080 pixels (FullHD),"Intel Core i5-12450H (8 lõi / 12 luồng, up to 4.40 GHz, 12 MB)","1x USB Type-C 3x USB-A 1x HDMI 1.4 hỗ trợ HDCP 1x giắc cắm tai nghe/loa 3.5 mm, hỗ trợ tai nghe có micrô tích hợp Thẻ nhớ MicroSD lên đến 512 GB (tương thích SDXC, tương thích exFAT)",
Laptop Dell Inspiron 14 5440 71034770,CORE 7-150U/16GB/1TB PCIE/VGA 2GB MX570A/14.0 2.2K/WIN11 + OFFICE/XANH,26.990.000đ,29.990.000đ,MX570A 2GB GDDR6,16GB,DDR5 5200MHz,2x 8GB ,1TB,14 inches,,Pin liền,Windows 11 Home + OFFICE,2240 x 1400 pixels,Core 7-150U,2x USB 3.2 Gen 1 (5 Gbps) ports 1x USB 3.2 Gen 2 (10 Gbps) Type-C (Sạc / DisplayPort 1.4),
Laptop HP Envy X360 2IN1 14-FC0162TU AY8X1PA,U5-125U/16GB/512GB PCIE/14.0 2.8K OLED/CẢM ỨNG/BÚT/WIN11/BẠC,26.690.000đ,29.890.000đ,Intel Graphics,16GB,LPDDR5-6400 MT/s Onboard,,512 GB PCIe Gen4 NVMeTM M.2 SSD,14 inches,"Hỗ trợ cảm ứng đa điểm Thời gian phản hồi 0.2, UWVA edge-to-edge glass micro-edge Corning Gorilla Glass NBTTM Low Blue Light Độ sáng SDR 400 nits, HDR 500 nits Độ phủ màu 100% DCI-P3","3-cell, 59 Wh Li-ion polymerLên đến 10 giờ 30 phútHỗ trợ sạc pin nhanh: khoảng 50% trong 30 phút",Windows 11 Home Single LanguageOffice H&S tích hợp,2880 x 1800 pixels,"Intel Core Ultra 5 125U (up to 4.3 GHz with Intel Turbo Boost Technology,12 MB L3 cache,12 lõi,14 luồng)","2x USB Type-A 10Gbps 1x HDMI 2.1 1x headphone/microphone combo 1x USB Type-C (Sạc, DisplayPort 2.1, HP Sleep and Charge) 1x Thunderbolt 4 với USB Type-C (Sạc, DisplayPort 2.1, HP Sleep and Charge)",
Laptop Lenovo LOQ 15IAX9E 83LK0036VN,I5-12450HX/12GB/512GB PCIE/VGA 6GB RTX3050/15.6 FHD 144HZ/WIN11/XÁM,19.490.000đ,21.990.000đ,"NVIDIA GeForce RTX 3050 6GB GDDR6, Boost Clock 1432MHz, TGP 65W, 142 AI TOPS",12GB,SO-DIMM DDR5-4800,1x 12GB SO-DIMM DDR5-4800 (Nâng cấp tối đa 32GB),"512GB SSD M.2 2242 PCIe 4.0x4 NVMe (Tối đa hai ổ đĩa, 2x M.2 SSD, nâng cấp tối đa 1TB)",15.6 inches,Độ sáng 300nits Màn hình chống chóiĐộ phủ màu 100% sRGB,"57Wh, 135W Slim Tip (3-pin)","Windows 11 Home Single Language, English",1920 x 1080 pixels (FullHD),"Intel Core i5-12450HX, 8 lõi (4P + 4E) / 12 luồng, P-core up to 4.4GHz, E-core up to 3.1GHz, 12MB","2x USB-A (USB 5Gbps / USB 3.2 Gen 1) 1x USB-C (USB 5Gbps / USB 3.2 Gen 1), chỉ truyền dữ liệu 1x HDMI 2.1, lên đến 8K/60Hz 1x giắc cắm kết hợp tai nghe / micrô (3.5 mm) 1x Ethernet (RJ-45) 1x Đầu đọc thẻ 1x Đầu nối nguồn",AI-Powered Gaming PC
Laptop ASUS ROG Strix G16 G614JV-N4369W,I7-13650HX/16GB/1TB PCIE/VGA 8GB RTX4060/16.0 WQXGA 240HZ/WIN11/XÁM/BALO/CHUỘT,34.990.000đ,42.990.000đ,NVIDIA GeForce RTX 4060 8GB GDDR6 (233 AI TOPs) Intel UHD Graphics,16GB,DDR5-4800 SO-DIMM,"2 Khe SO-DIMM (1 x 16GB, tối đa 32GB)","1TB PCIe 4.0 NVMe M.2 SSD (2 Khe cắm M.2 hỗ trợ SATA hoặc NVMe, nâng cấp tối đa 2TB)",16 inches,Thời gian phản hồi 3msĐộ sáng 500nitsĐộ phủ màu DCI-P3 100%Màn hình chống chói G-SyncROG Nebula DisplayDolby Vision HDRROG intelligent cooling,"90WHrs, 4S1P, 4-cell Li-ionSạc lại từ 0-50% trong 30 phút",Windows 11 Home,2560 x 1600 (WQXGA),"Intel Core i7-13650HX 2.6 GHz 24M  Cache, up to 4.9 GHz, 14 cores: 6 P-cores and 8 E-cores)",1x RJ45 LAN 1x Thunderbolt 4 hỗ trợ DisplayPort (40Gbps) 1x USB 3.2 Gen 2 Type-C hỗ trợ DisplayPort / cung cấp điện / G-SYNC (10Gbps) 2x USB 3.2 Gen 2 Type-A (10Gbps) 1x HDMI 2.1 FRL 1x Giắc cắm âm thanh kết hợp 3.5mm,
Laptop Lenovo LOQ 15ARP9 83JC003VVN,R7-7435HS/12GB/512GB PCIE/VGA 6GB RTX4050/15.6 FHD 144HZ/WIN11/XÁM,25.490.000đ,27.490.000đ,"NVIDIA GeForce RTX 4050 6GB GDDR6, Boost Clock 2370MHz, TGP 105W",12GB,DDR5-4800,2 khe DDR5 (1 khe trống nâng cấp tối đa 32GB DDR5-4800),"512GB SSD M.2 2242 PCIe 4.0x4 NVMe (hai ổ đĩa SSD M.2 2242, nâng cấp tối đa 1TB)",15.6 inches,Độ sáng 300 inits  Màn hình chống chói  Độ phủ màu 100% sRGB  G-Sync,60Wh,Windows 11 Home,1920 x 1080 pixels (FullHD),"AMD Ryzen 7 7435HS (8C / 16T, 3.1 / 4.5GHz, 4MB L2 / 16MB L3)","1x USB-A  2x USB-C (PD 140W / DisplayPort 1.4) 1x HDMI 2.1, tối đa 8K/60Hz  1x Headphone / microphone combo jack (3.5mm)  1x Ethernet (RJ-45)  1x Đầu nối nguồn",
